English/Hindi,Santali,IPA,Gloss
speech,ḍher sanam,ɖɛr sənəm,voice-sound
audio,sanam,sənəm,sound
sound,sanam,sənəm,sound
noise,buru sanam,bʊrʊ sənəm,bad-sound
signal,isara,ɪsərə,signal
frequency,gon gana,ɡon ɡənə,rate-count
pitch,uchha sanam,ʊtʃʰə sənəm,high-sound
amplitude,bada sanam,bəɖə sənəm,big-sound
spectrum,rang sanam,rəŋ sənəm,colour-sound
spectrogram,sanam chittar,sənəm tʃɪtər,sound-picture
microphone,sanam gacha,sənəm ɡətʃə,sound-catch
waveform,sanam lahar,sənəm ləɦər,sound-wave
sampling,gona landa,ɡonə ləndə,measure-take
sample rate,gona landa gati,ɡonə ləndə ɡəti,measure-rate
frame,taka,t̪əkə,frame
window,janla,dʒənlə,window
filter,chani,tʃəni,filter
channel,ras,rəs,path
recording,sanam tola,sənəm t̪olə,sound-take
playback,sanam aula,sənəm ɔlə,sound-return
volume,sanam matra,sənəm mət̪rə,sound-measure
frequency response,gon gana uttar,ɡon ɡənə ʊt̪ər,frequency-answer
fundamental,mul,mʊl,root/base
harmonic,sanam bhai,sənəm bʱəɪ,sound-sibling
formant,sanam roop,sənəm ruːp,sound-form
resonance,gunjana,ɡʊɲdʒənə,resonance
feature,khojia,kʰodʒɪə,found-thing
cepstrum,ul khojia,ʊl kʰodʒɪə,deep-feature
mfcc,mel sanam khojia,mel sənəm kʰodʒɪə,mel-sound-feature
mel,mel,mel,mel
mfcc feature,mel sanam lekha,mel sənəm lekʰə,mel-sound-number
linear prediction,sidhi andaj,sɪdʱɪ əndədʒ,straight-guess
autocorrelation,apan mel,əpən mel,self-match
zero crossing,sifar katna,sɪfər kət̪nə,zero-cross
energy,sakti,ʃəkt̪ɪ,power
entropy,hulor,ɦʊlor,disorder
dct,dct rupantar,dct rʊpənt̪ər,DCT-transform
fft,sanam bodol,sənəm bod̪ol,sound-change
stft,cha cha sanam bodol,tʃə tʃə sənəm bod̪ol,short-time-change
windowing,janla lagam,dʒənlə ləɡəm,window-apply
hamming,hamming janla,ɦəmɪŋ dʒənlə,Hamming-window
neural network,dimag jal,d̪ɪməɡ dʒəl,brain-net
deep learning,gehre sikha,ɡeːɦreː sɪkʰə,deep-learn
training,sikhaba,sɪkʰəbə,learning
model,nakshe,nəkʃeː,model/map
parameter,apna,əpnə,own/parameter
gradient,dhalan,d̪ʱələn,slope
backpropagation,piche phela,pɪtʃeː pʰelə,backward-spread
loss,haani,ɦɑːniː,loss
accuracy,sahi,səɦiː,correct
overfitting,jaruri se jada sikha,dʒərʊrɪ seː dʒɑːdə sɪkʰə,over-learn
regularization,niyam,niːjəm,rule
dropout,chod dena,tʃoːd̪ d̪enə,drop-give
batch,jattha,dʒət̪t̪ʱə,group
epoch,chakkar,tʃəkər,cycle
optimizer,sudharne wala,sʊd̪ʱərneː ʋɑːlə,improve-agent
classification,warg karna,ʋərɡ kərnə,classify
regression,andaj karna,əndədʒ kərnə,estimate
clustering,jod karna,dʒod̪ kərnə,group-do
attention,dhyan,d̪ʱjɑːn,attention
transformer,bodol wala,bod̪ol ʋɑːlə,transformer
embedding,anga ka rup,əŋɡə kə rʊp,body-form
encoder,band karne wala,bənd̪ kərneː ʋɑːlə,encode-agent
decoder,khol karne wala,kʰol kərneː ʋɑːlə,decode-agent
layer,tabak,t̪əbək,layer
convolution,lapetna,ləpeːt̪nə,wrap
pooling,jorna,dʒornə,joining
activation,jagana,dʒəɡɑːnə,activate
softmax,mal prababil,məl prəbəbɪl,probable-measure
sigmoid,s wala,s ʋɑːlə,S-shaped
relu,seedha karna,siːd̪ʱə kərnə,straighten
automatic speech recognition,apan sanam pahchan,əpən sənəm pəɦtʃɦɑːn,auto-sound-know
transcription,lekha,lekʰə,writing
word error rate,shabda galti gona,ʃəbd̪ə ɡəlt̪ɪ ɡonə,word-error-count
beam search,kiran khoj,kɪrən kʰodʒ,beam-search
language model,boli nakshe,boliː nəkʃeː,language-model
acoustic model,sanam nakshe,sənəm nəkʃeː,sound-model
lexicon,shabda suchi,ʃəbd̪ə sutʃiː,word-list
phoneme,boli angan,boliː əŋɡən,sound-unit
allophone,boli bhai,boliː bʱəɪ,sound-sibling
hmm,adhur dekhna,əd̪ʊr d̪ekʰnə,hidden-see
viterbi,viterbi ras,ʋɪt̪ərbiː rəs,Viterbi-path
ctc,seedha lekha,siːd̪ʱə lekʰə,direct-write
decoding,ukhal karna,ʊkʰəl kərnə,decode
vocabulary,shabda jathha,ʃəbd̪ə dʒət̪t̪ʱə,word-group
silence,chup,tʃʊp,silence
voice activity,boli kaam,boliː kɑːm,speech-activity
text to speech,lekha se sanam,lekʰə seː sənəm,text-to-sound
synthesis,banana,bənɑːnə,make/create
vocoder,sanam banane wala,sənəm bənɑːneː ʋɑːlə,sound-maker
prosody,sanam chaal,sənəm tʃɑːl,sound-gait
intonation,sanam utha gira,sənəm ʊʈʰə ɡɪrə,sound-rise-fall
duration,samay,səməj,time
speaker,bola wala,bolə ʋɑːlə,speak-agent
voice,awaaz,əʋɑːz,voice
cloning,nakal banana,nəkəl bənɑːnə,copy-make
mel spectrogram,mel sanam chittar,mel sənəm tʃɪtər,mel-sound-picture
griffin lim,griffin lim,ɡrɪfɪn lɪm,Griffin-Lim
wavenet,lahar jal,ləɦər dʒəl,wave-net
fastspeech,jaldi boli,dʒəld̪iː boliː,fast-speech
tacotron,tacotron,t̪ɑːkoːt̪roːn,Tacotron
code switching,boli bodal,boliː bod̪əl,language-change
hinglish,hindi angreji,ɦɪnd̪iː əŋɡreːdʒiː,Hindi-English
bilingual,do boli,d̪oː boliː,two-language
multilingual,kai boli,kəɪ boliː,many-language
language,boli,boliː,language
english,angreji,əŋɡreːdʒiː,English
hindi,hindi,ɦɪnd̪iː,Hindi
santali,santal boli,sənt̪əl boliː,Santali-language
translation,boli bodal,boliː bod̪əl,language-convert
ipa,boli rup lekha,boliː rʊp lekʰə,sound-form-write
precision,nishchit sahi,nɪʃtʃɪt̪ səɦiː,exact-correct
recall,dhundh ke lana,d̪ʱʊnd̪ʱ keː lɑːnə,find-bring
f1 score,f1 ank,f1 ənk,F1-number
error,galti,ɡəlt̪iː,mistake
evaluation,janch,dʒɑːntʃ,examination
benchmark,kaso andaj,kəso əndədʒ,standard-measure
performance,kaam,kɑːm,work/performance
metric,nak,nɑːk,measure
algorithm,kram karna,krəm kərnə,step-method
data,mala,mɑːlə,collection
dataset,mala jathha,mɑːlə dʒət̪t̪ʱə,data-group
matrix,anga suchi,əŋɡə sutʃiː,array-table
vector,anga,əŋɡə,element/vector
dimension,aakar,ɑːkɑːr,shape/dimension
